"level","elpd_waic","p_waic","waic","se_elpd_waic","se_p_waic","se_waic"
apologize,252.251156710418,14.0497372081759,-504.502313420835,39.7803501695404,2.37761606854499,79.5607003390809
boast,282.015146862523,25.4792457432912,-564.030293725046,40.7477939054464,4.3236012440415,81.4955878108927
complain,164.02283683845,29.7660180254266,-328.045673676899,36.5142485478512,5.41258911456054,73.0284970957023
congratulate,221.270650496688,21.990527878812,-442.541300993376,37.9486099771365,4.15664449336707,75.897219954273
convince,181.39752014387,11.8437328222141,-362.795040287741,34.6546763142954,1.75455270499379,69.3093526285908
disprove,167.31575774321,17.7526110213826,-334.63151548642,35.6385624471732,4.01247005600452,71.2771248943465
dissuade,128.92206166609,26.7739261279303,-257.84412333218,31.1535050960374,5.0719810025184,62.3070101920748
doubt,233.48732425301,12.1360382572727,-466.974648506021,38.8268575273259,1.76727456475462,77.6537150546517
fear,305.347222455714,15.6690379984161,-610.694444911429,42.8580399684321,2.37302848732675,85.7160799368642
hate,371.410520323434,13.1186279101814,-742.821040646868,43.4107808669799,2.00610171680293,86.8215617339597
hope,388.460675685821,20.4562449242291,-776.921351371642,45.4965333030405,3.39658631413663,90.9930666060811
know,220.675245325175,12.6353785687036,-441.35049065035,38.9660175446672,1.46491152011905,77.9320350893345
lie,118.525676086203,19.8585654069838,-237.051352172406,33.801667707827,4.0540363605668,67.603335415654
like,464.21919491225,19.6166308480327,-928.4383898245,49.6895845138112,3.74514140902363,99.3791690276225
love,423.002162934885,18.3637664135323,-846.004325869771,45.5298479394424,5.17209596518188,91.0596958788848
mislead,154.661626051917,19.9522967970378,-309.323252103834,35.4571680665891,2.83032756997856,70.9143361331783
notify,114.2744668344,15.0733439006053,-228.5489336688,29.0265712663599,2.85510201057465,58.0531425327198
persuade,123.224218204366,15.992189496762,-246.448436408733,30.7746300457283,3.82209671505082,61.5492600914566
regret,284.423651954815,20.3888759755671,-568.84730390963,43.6617255420959,3.63283699131068,87.3234510841917
remember,238.46597668494,12.0072069752989,-476.931953369879,37.5240250079001,3.07801561508914,75.0480500158002
tell,212.597864776726,11.0246142700931,-425.195729553451,36.657271559228,1.50792896616968,73.314543118456
think,285.82953729831,19.4070008693208,-571.65907459662,41.4229207109969,3.07117796374356,82.8458414219939
wish,425.859785740656,18.8236206621359,-851.719571481312,46.2294999215758,3.60582402987798,92.4589998431516
worry,324.278319022111,21.7325433162117,-648.556638044221,45.9417297177416,4.57640131259961,91.8834594354831
